Variate 1,,Variate 2,,Variate 3,,,Common
Delaunay: Mean triangle area,,Delaunay: Mean triangle area,,Nucleus: Eosin OD range,,,Nucleus: Hematoxylin OD range
Max diameter px,,Nucleus: Eosin OD max,,Nucleus: Eosin OD std dev,,,Nucleus: Hematoxylin OD std dev
Min diameter px,,Nucleus: Eosin OD min,,Nucleus: Hematoxylin OD min,,,ROI: 1.00 px per pixel: Hematoxylin: Max
Nucleus: Hematoxylin OD range,,Nucleus: Eosin OD range,,Nucleus: Hematoxylin OD range,,,ROI: 1.00 px per pixel: Hematoxylin: Std.dev.
Nucleus: Hematoxylin OD std dev,,Nucleus: Eosin OD std dev,,Nucleus: Hematoxylin OD std dev,,,
Nucleus: Max caliper,,Nucleus: Hematoxylin OD min,,ROI: 1.00 px per pixel: Brightness: Mean,,,
ROI: 1.00 px per pixel: Blue: Haralick Correlation (F2),,Nucleus: Hematoxylin OD range,,ROI: 1.00 px per pixel: Eosin: Std.dev.,,,
ROI: 1.00 px per pixel: Blue: Haralick Information measure of correlation 1 (F11),,Nucleus: Hematoxylin OD std dev,,ROI: 1.00 px per pixel: Green: Haralick Sum variance (F6),,,
ROI: 1.00 px per pixel: Blue: Haralick Information measure of correlation 2 (F12),,ROI: 1.00 px per pixel: Brightness: Haralick Entropy (F8),,ROI: 1.00 px per pixel: Hematoxylin: Haralick Sum average (F5),,,
ROI: 1.00 px per pixel: Blue: Haralick Sum of squares (F3),,ROI: 1.00 px per pixel: Brightness: Mean,,ROI: 1.00 px per pixel: Hematoxylin: Max,,,
ROI: 1.00 px per pixel: Blue: Haralick Sum variance (F6),,ROI: 1.00 px per pixel: Eosin: Haralick Correlation (F2),,ROI: 1.00 px per pixel: Hematoxylin: Mean,,,
ROI: 1.00 px per pixel: Blue: Std.dev.,,ROI: 1.00 px per pixel: Eosin: Haralick Difference entropy (F10),,ROI: 1.00 px per pixel: Hematoxylin: Min,,,
ROI: 1.00 px per pixel: Brightness: Haralick Contrast (F1),,ROI: 1.00 px per pixel: Eosin: Haralick Information measure of correlation 1 (F11),,ROI: 1.00 px per pixel: Hematoxylin: Std.dev.,,,
ROI: 1.00 px per pixel: Brightness: Haralick Correlation (F2),,ROI: 1.00 px per pixel: Eosin: Haralick Information measure of correlation 2 (F12),,ROI: 1.00 px per pixel: Hue: Mean,,,
ROI: 1.00 px per pixel: Brightness: Haralick Difference entropy (F10),,ROI: 1.00 px per pixel: Eosin: Max,,ROI: 1.00 px per pixel: Red: Haralick Sum average (F5),,,
ROI: 1.00 px per pixel: Brightness: Haralick Information measure of correlation 1 (F11),,ROI: 1.00 px per pixel: Eosin: Min,,ROI: 1.00 px per pixel: Red: Max,,,
ROI: 1.00 px per pixel: Brightness: Haralick Information measure of correlation 2 (F12),,ROI: 1.00 px per pixel: Eosin: Std.dev.,,ROI: 1.00 px per pixel: Red: Mean,,,
ROI: 1.00 px per pixel: Brightness: Haralick Inverse difference moment (F4),,ROI: 1.00 px per pixel: Hematoxylin: Haralick Angular second moment (F0),,ROI: 1.00 px per pixel: Red: Median,,,
ROI: 1.00 px per pixel: Brightness: Haralick Sum of squares (F3),,ROI: 1.00 px per pixel: Hematoxylin: Haralick Entropy (F8),,,,,
ROI: 1.00 px per pixel: Brightness: Std.dev.,,ROI: 1.00 px per pixel: Hematoxylin: Haralick Sum average (F5),,,,,
ROI: 1.00 px per pixel: Eosin: Haralick Correlation (F2),,ROI: 1.00 px per pixel: Hematoxylin: Haralick Sum entropy (F7),,,,,
ROI: 1.00 px per pixel: Green: Haralick Difference entropy (F10),,ROI: 1.00 px per pixel: Hematoxylin: Max,,,,,
ROI: 1.00 px per pixel: Green: Haralick Sum variance (F6),,ROI: 1.00 px per pixel: Hematoxylin: Mean,,,,,
ROI: 1.00 px per pixel: Hematoxylin: Max,,ROI: 1.00 px per pixel: Hematoxylin: Min,,,,,
ROI: 1.00 px per pixel: Hematoxylin: Std.dev.,,ROI: 1.00 px per pixel: Hematoxylin: Std.dev.,,,,,
ROI: 1.00 px per pixel: Hue: Mean,,ROI: 1.00 px per pixel: Red: Haralick Sum average (F5),,,,,
ROI: 1.00 px per pixel: OD Sum: Haralick Correlation (F2),,ROI: 1.00 px per pixel: Red: Mean,,,,,
ROI: 1.00 px per pixel: OD Sum: Haralick Sum average (F5),,ROI: 1.00 px per pixel: Red: Median,,,,,
ROI: 1.00 px per pixel: OD Sum: Median,,ROI: 1.00 px per pixel: Residual: Haralick Information measure of correlation 1 (F11),,,,,
ROI: 1.00 px per pixel: OD Sum: Std.dev.,,ROI: 1.00 px per pixel: Residual: Min,,,,,
ROI: 1.00 px per pixel: Red: Max,,ROI: 1.00 px per pixel: Residual: Std.dev.,,,,,
ROI: 1.00 px per pixel: Red: Std.dev.,,ROI: 1.00 px per pixel: Saturation: Haralick Entropy (F8),,,,,
ROI: 1.00 px per pixel: Residual: Haralick Correlation (F2),,,,,,,
ROI: 1.00 px per pixel: Saturation: Haralick Correlation (F2),,,,,,,
